shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
03090256-83db-4a18-8781-2c4c31e26e72,40.4607820785512,-86.9237434520569,2,241.73
03090256-83db-4a18-8781-2c4c31e26e72,40.4607244110539,-86.92152,1,52.04
03090256-83db-4a18-8781-2c4c31e26e72,40.4595965420959,-86.9350583514606,6,1224.03
03090256-83db-4a18-8781-2c4c31e26e72,40.4607431865181,-86.9267904416794,3,499.38
03090256-83db-4a18-8781-2c4c31e26e72,40.457538,-86.934027,11,2358.47
03090256-83db-4a18-8781-2c4c31e26e72,40.4611924565549,-86.9214810086179,0,0
03090256-83db-4a18-8781-2c4c31e26e72,40.45901,-86.937837,7,1467.83
03090256-83db-4a18-8781-2c4c31e26e72,40.4592384671711,-86.9400740826174,8,1658.67
03090256-83db-4a18-8781-2c4c31e26e72,40.4595965420959,-86.935057010356,10,2103.66
04837746-36b3-4912-a426-313329ce4b72,40.420923,-86.894295,2,225.91
04837746-36b3-4912-a426-313329ce4b72,40.4350838324478,-86.8624375380538,28,4675.5
04837746-36b3-4912-a426-313329ce4b72,40.4218109203465,-86.8906168276439,6,829.49
04837746-36b3-4912-a426-313329ce4b72,40.4332036038163,-86.8652619043149,26,4358.08
04837746-36b3-4912-a426-313329ce4b72,40.4196825873663,-86.8959383306467,0,0
04837746-36b3-4912-a426-313329ce4b72,40.4285902040357,-86.8728887661033,21,3503.87
04837746-36b3-4912-a426-313329ce4b72,40.4246795430589,-86.8809461224643,14,1961.93
04837746-36b3-4912-a426-313329ce4b72,40.4226598395502,-86.8906315797944,7,923.83
04837746-36b3-4912-a426-313329ce4b72,40.4246875896864,-86.8866699568432,11,1464.57
04837746-36b3-4912-a426-313329ce4b72,40.4246714964313,-86.8822818626333,13,1848.93
04837746-36b3-4912-a426-313329ce4b72,40.4361781737911,-86.8621156729529,29,4800.11
04837746-36b3-4912-a426-313329ce4b72,40.434251006499,-86.8636311211366,27,4538.55
04837746-36b3-4912-a426-313329ce4b72,40.4377901815051,-86.8621290839987,30,4979.24
04837746-36b3-4912-a426-313329ce4b72,40.429896,-86.870481,23,3759.1
04837746-36b3-4912-a426-313329ce4b72,40.4246728375359,-86.8841567268465,12,1690.33
04837746-36b3-4912-a426-313329ce4b72,40.4246607675946,-86.8884120517023,10,1330.36
04837746-36b3-4912-a426-313329ce4b72,40.4233344151577,-86.8906288975852,8,1048.86
04837746-36b3-4912-a426-313329ce4b72,40.4200098168856,-86.8942740198537,3,330.85
04837746-36b3-4912-a426-313329ce4b72,40.4247385516607,-86.872853897384,19,3071.74
04837746-36b3-4912-a426-313329ce4b72,40.424673,-86.877357,17,2690.83
04837746-36b3-4912-a426-313329ce4b72,40.4230152322659,-86.8771990762472,16,2478.25
04837746-36b3-4912-a426-313329ce4b72,40.4320100207335,-86.8661711732251,25,4204.76
04837746-36b3-4912-a426-313329ce4b72,40.4246527209671,-86.8906651074091,9,1139.77
04837746-36b3-4912-a426-313329ce4b72,40.4246728375359,-86.8773573265885,15,2265.51
04837746-36b3-4912-a426-313329ce4b72,40.424688930791,-86.8762509153039,18,2784.33
04837746-36b3-4912-a426-313329ce4b72,40.420898,-86.894857,1,145.8
04837746-36b3-4912-a426-313329ce4b72,40.4200218868269,-86.8928752477691,4,449.25
04837746-36b3-4912-a426-313329ce4b72,40.4305656510929,-86.8690532069834,24,3912.9
04837746-36b3-4912-a426-313329ce4b72,40.429232593133,-86.8717246873215,22,3630.64
04837746-36b3-4912-a426-313329ce4b72,40.4263961569307,-86.8728552384886,20,3255.93
04837746-36b3-4912-a426-313329ce4b72,40.4200178635131,-86.8907039994421,5,634.07
0681ab52-b37f-4588-8f96-cb334bd1b466,40.4603046453181,-86.933191533875,3,403.56
0681ab52-b37f-4588-8f96-cb334bd1b466,40.41729,-86.895447,44,9965.85
0681ab52-b37f-4588-8f96-cb334bd1b466,40.4233317329485,-86.9069702569825,39,8756.63
0681ab52-b37f-4588-8f96-cb334bd1b466,40.4352179429065,-86.9058812800575,21,4950.35
0681ab52-b37f-4588-8f96-cb334bd1b466,40.422088528996,-86.9121791071998,35,8206.61
0681ab52-b37f-4588-8f96-cb334bd1b466,40.4457979169964,-86.9142497726828,15,3532.64
0681ab52-b37f-4588-8f96-cb334bd1b466,40.4603609717107,-86.9157263288335,9,1881.02
0681ab52-b37f-4588-8f96-cb334bd1b466,40.4207286489444,-86.901254469231,41,9320.48
0681ab52-b37f-4588-8f96-cb334bd1b466,40.4578370128773,-86.9328830798199,1,74.58
0681ab52-b37f-4588-8f96-cb334bd1b466,40.4220938934144,-86.9106274491922,37,8363.02
