route_id,service_id,trip_id,shape_id,trip_headsign,direction_id,block_id
28b2a8a3-2455-47f8-852e-9d36da3dac6a,41cfb772-7f6e-4312-b047-51565e572fb2,3c2b5ca9-09c7-4025-bb41-024cab332899,53be0505-7e29-47aa-a091-71e70edeaf53,IB,1,965a7beb-b3a7-4901-bf98-8c900b6de05e
e93a400d-bcbf-4f33-aefe-c4be37309278,746ab0c1-a909-40d5-8046-d23c7a3e472b,fd5bb179-e859-493a-99d3-e45f326c3b92,5d6885b8-9101-4d0b-8606-a0b703b3ca93,IB,0,b329476e-884f-45dd-9a51-05467d14b67e
d8add9a8-7327-4b10-a5bc-c8befc0a95b1,41cfb772-7f6e-4312-b047-51565e572fb2,c533e1aa-6057-43b7-9565-5e74c5f6139b,e3ccdcce-2c99-479e-843f-8de3095f059d,IB,1,c6deba69-2721-4fb3-830a-7214a9424b74
a1b3f145-7a0b-483d-881a-05147a8d6b74,746ab0c1-a909-40d5-8046-d23c7a3e472b,836b558c-e2ec-4f95-9657-6affad7bb05d,f982e654-f40e-409b-b363-636b11017e34,IB,0,5695045d-ad0b-4bd2-9fa4-8e2016016797
8f652041-5cda-4f52-a040-0fa32815f65e,746ab0c1-a909-40d5-8046-d23c7a3e472b,41b3817a-c08f-45a5-b1e6-902b84543271,7a389d44-ed14-47b9-b780-05d4b811c6c3,OB,0,87c88cfb-05da-4bff-800a-451e0dd37c54
975a2ed9-fcae-4861-b34e-b01476922c86,746ab0c1-a909-40d5-8046-d23c7a3e472b,63814315-3738-45e0-8bef-1a9a4d503ed1,08ed18d0-6b83-424e-80ed-c8e4c2e9d5f4,OB,1,5695045d-ad0b-4bd2-9fa4-8e2016016797
1584e62f-7f48-46c4-bb5c-23e54fc835c7,746ab0c1-a909-40d5-8046-d23c7a3e472b,d2886e12-e049-4e13-8970-1e40efcc33bb,d4418fcd-8ef1-4eda-be57-67f0144a6a44,OB,1,5695045d-ad0b-4bd2-9fa4-8e2016016797
2adbda2b-3e5c-4362-80a4-d0a71154a47c,41cfb772-7f6e-4312-b047-51565e572fb2,372bbf13-e286-4416-a6de-360cdb42002d,729636b9-4790-4359-a494-e94264931582,OB,0,5ccf58be-d034-4ce0-9886-4a73ac46ff52
2adbda2b-3e5c-4362-80a4-d0a71154a47c,41cfb772-7f6e-4312-b047-51565e572fb2,aaba5917-e698-41ce-930c-df3f1b8f3f21,729636b9-4790-4359-a494-e94264931582,OB,0,915abbb1-dc9c-45a8-9637-ae2d9d6efe59
8f652041-5cda-4f52-a040-0fa32815f65e,41cfb772-7f6e-4312-b047-51565e572fb2,bc2538ee-0ac4-4d46-b483-93931ae58700,7a389d44-ed14-47b9-b780-05d4b811c6c3,OB,0,5a3caae7-869c-42b9-9a19-cbb5f5607899
e93a400d-bcbf-4f33-aefe-c4be37309278,6071f051-40d9-47ec-93e5-e3bc671157a3,0448ad1d-b48e-4d35-84ba-ab6fadd1d5f8,6c54259f-d287-4449-abc1-030696838d71,OB,1,3bee14eb-7317-40d9-a52e-5c625fa1254b
8f652041-5cda-4f52-a040-0fa32815f65e,41cfb772-7f6e-4312-b047-51565e572fb2,09a4b3f5-0a30-410c-9987-8640f6afec08,7a389d44-ed14-47b9-b780-05d4b811c6c3,OB,0,8fecbf78-37a2-4f6f-b19b-70b12b844a1d
